Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
guitar-strap-rainbow-tie-dye-print,Guitar Strap — Rainbow Tie-Dye Stripe Print,"<p>An adjustable guitar strap in a rainbow vertical-stripe tie-dye pattern (red, blue, green, and yellow-orange). New and factory-packaged, bundled with rubber bands.</p><ul>
<li>Rainbow vertical-stripe tie-dye pattern</li>
<li>Red/blue/green/yellow-orange colorway</li>
<li>Factory-packaged, new</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Guitar Strap,"Straps, Strings & Accessories, accessory, guitar strap, new, novelty strap, packaged, rainbow print, tie-dye",true,Title,Default Title,,,,,GEAR-07,220,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-07-01.jpg,1,Guitar Strap — Rainbow Tie-Dye Stripe Print — Bob Music Store,false,Guitar Strap — Rainbow Tie-Dye Stripe Print,"An adjustable guitar strap in a rainbow vertical-stripe tie-dye pattern (red, blue, green, and yellow-orange) — Bob Music Store, Beirut.",g,active
guitar-strap-canadian-flag-print,Guitar Strap — Canadian Flag Maple Leaf Print,"<p>An adjustable guitar strap printed with the Canadian flag's red maple leaf design. New and factory-packaged with a black cam-lock slide buckle.</p><ul>
<li>Canadian flag / red maple-leaf print</li>
<li>Black cam-lock slide buckle</li>
<li>Factory-packaged, new</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Guitar Strap,"Straps, Strings & Accessories, accessory, canadian flag, guitar strap, maple leaf, new, novelty strap, packaged",true,Title,Default Title,,,,,GEAR-06,220,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-06-01.jpg,1,Guitar Strap — Canadian Flag Maple Leaf Print — Bob Music Store,false,Guitar Strap — Canadian Flag Maple Leaf Print,"An adjustable guitar strap printed with the Canadian flag's red maple leaf design — Bob Music Store, Beirut.",g,active
guitar-strap-plain-black,Guitar Strap — Plain Black Webbing,"<p>A simple, no-frills guitar strap in matte black webbing with a leather-look rounded end tab. Sold loose (not in retail packaging), with a black plastic tri-glide adjuster and pull loop.</p><ul>
<li>Matte black webbing, no printed graphic</li>
<li>Black plastic tri-glide adjuster with pull loop</li>
<li>Leather-look rounded end tab</li>
<li>Sold unpackaged</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Guitar Strap,"Straps, Strings & Accessories, accessory, guitar strap, new, plain black, solid color, unpackaged",true,Title,Default Title,,,,,GEAR-05,220,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-05-01.jpg,1,Guitar Strap — Plain Black Webbing — Bob Music Store,false,Guitar Strap — Plain Black Webbing,"A simple, no-frills guitar strap in matte black webbing with a leather-look rounded end tab — Bob Music Store, Beirut.",g,active
guitar-strap-sunset-cross-print,Guitar Strap — Sunset Gradient with Cross Silhouette Print,"<p>An adjustable guitar strap featuring a red/orange/purple sunset gradient print with a black silhouette cross graphic. New and factory-packaged.</p><ul>
<li>Red/orange/purple sunset gradient print</li>
<li>Black silhouette cross graphic</li>
<li>Factory-packaged, new</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Guitar Strap,"Straps, Strings & Accessories, accessory, cross graphic, guitar strap, new, novelty strap, packaged, sunset print",true,Title,Default Title,,,,,GEAR-04,220,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-04-01.jpg,1,Guitar Strap — Sunset Gradient with Cross Silhouette Print — Bob Music Store,false,Guitar Strap — Sunset Gradient with Cross Silhouette Print,"An adjustable guitar strap featuring a red/orange/purple sunset gradient print with a black silhouette cross graphic — Bob Music Store, Beirut.",g,active
guitar-strap-american-flag-print,Guitar Strap — American Stars & Stripes Flag Print,"<p>An adjustable guitar strap printed with the American stars-and-stripes flag in red, white, and blue. New and factory-packaged with a black slide buckle.</p><ul>
<li>American flag (stars and stripes) print, red/white/blue</li>
<li>Black slide buckle</li>
<li>Factory-packaged, new</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Guitar Strap,"Straps, Strings & Accessories, accessory, american flag, guitar strap, new, novelty strap, packaged, stars and stripes",true,Title,Default Title,,,,,GEAR-03,220,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-03-01.jpg,1,Guitar Strap — American Stars & Stripes Flag Print — Bob Music Store,false,Guitar Strap — American Stars & Stripes Flag Print,"An adjustable guitar strap printed with the American stars-and-stripes flag in red, white, and blue — Bob Music Store, Beirut.",g,active
guitar-strap-union-jack-print,Guitar Strap — Union Jack (UK Flag) Print,"<p>An adjustable guitar strap printed with the Union Jack in red, white, and navy. New and factory-packaged with a black plastic tri-glide adjuster buckle.</p><ul>
<li>Union Jack (UK flag) print, red/white/navy</li>
<li>Black plastic tri-glide adjuster buckle</li>
<li>Factory-packaged, new</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Guitar Strap,"Straps, Strings & Accessories, accessory, guitar strap, new, novelty strap, packaged, UK flag, union jack",true,Title,Default Title,,,,,GEAR-02,220,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-02-01.jpg,1,Guitar Strap — Union Jack (UK Flag) Print — Bob Music Store,false,Guitar Strap — Union Jack (UK Flag) Print,"An adjustable guitar strap printed with the Union Jack in red, white, and navy — Bob Music Store, Beirut.",g,active
guitar-strap-flame-fire-print,Guitar Strap — Black with Red/Orange Flame Print,"<p>An adjustable guitar strap in black webbing with a mirrored red/orange flame print running down both ends. New and factory-packaged in a clear poly bag on a black header card with a music-staff graphic.</p><ul>
<li>Black webbing with red/orange flame (fire) print, mirrored on both ends</li>
<li>Adjustable length</li>
<li>Factory-packaged, new</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Guitar Strap,"Straps, Strings & Accessories, accessory, flame print, guitar strap, new, novelty strap, packaged",true,Title,Default Title,,,,,GEAR-01,220,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-01-01.jpg,1,Guitar Strap — Black with Red/Orange Flame Print — Bob Music Store,false,Guitar Strap — Black with Red/Orange Flame Print,"An adjustable guitar strap in black webbing with a mirrored red/orange flame print running down both ends — Bob Music Store, Beirut.",g,active
hand-painted-soprano-recorder-green-tip,Hand-Painted Soprano Recorder — Green Tip with Blue & Red Panels,"<p>A colorfully hand-painted wooden soprano recorder for kids, featuring a green-tipped foot joint, a blue body panel with red, yellow, and pink dot accents, and a red section near the beak decorated with a yellow flower. Natural wood beak, approximately 30cm/12in long.</p><ul>
<li>Green-tipped foot joint (colors reversed from WND-04)</li>
<li>Blue body panel with red/yellow/pink dot paint accents</li>
<li>Red beak section with yellow flower decoration</li>
<li>Sold individually — part of a color-reversed pair with WND-04, but a separate instrument</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Wind Instruments > Recorders,Recorder,"Recorders, Violins & Wind, decorative, hand-painted, kids recorder, recorder, soprano recorder, wind instrument, wood recorder",true,Title,Default Title,,,,,WND-05,120,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/WND-05-01.jpg,1,Hand-Painted Soprano Recorder — Green Tip with Blue & Red Panels — Bob Music Store,false,Hand-Painted Soprano Recorder — Green Tip with Blue & Red…,"A colorfully hand-painted wooden soprano recorder for kids, featuring a green-tipped foot joint, a blue body panel with red — Bob Music Store, Beirut.",g,active
hand-painted-soprano-recorder-blue-tip,Hand-Painted Soprano Recorder — Blue Tip with Red & Green Panels,"<p>A colorfully hand-painted wooden soprano recorder for kids, featuring a blue-tipped foot joint, a red body panel with yellow flower and pink dot accents, and a green section near the beak decorated with pink hearts. Natural wood beak, approximately 30cm/12in long.</p><ul>
<li>Blue-tipped foot joint</li>
<li>Red body panel with yellow flower and pink dot paint accents</li>
<li>Green beak section with pink heart accents</li>
<li>Sold individually — part of a color-reversed pair with WND-05, but a separate instrument</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Wind Instruments > Recorders,Recorder,"Recorders, Violins & Wind, decorative, hand-painted, kids recorder, recorder, soprano recorder, wind instrument, wood recorder",true,Title,Default Title,,,,,WND-04,120,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/WND-04-01.jpg,1,Hand-Painted Soprano Recorder — Blue Tip with Red & Green Panels — Bob Music Store,false,Hand-Painted Soprano Recorder — Blue Tip with Red & Green…,"A colorfully hand-painted wooden soprano recorder for kids, featuring a blue-tipped foot joint, a red body panel with yellow — Bob Music Store, Beirut.",g,active
plain-wood-student-soprano-recorder,Plain Wood Student Soprano Recorder — Natural Finish,"<p>A plain student-grade soprano recorder in natural honey-tan wood, left unpainted to show the grain throughout. Turned decorative rings mark the joints on this three-piece instrument, approximately 12-13in long.</p><ul>
<li>Natural unpainted wood finish with visible grain</li>
<li>Turned decorative rings at the joints</li>
<li>Three-piece construction</li>
<li>No brand markings</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Wind Instruments > Recorders,Recorder,"Recorders, Violins & Wind, Beginner & Student, natural finish, new, recorder, soprano recorder, student recorder, wind instrument, wood recorder",true,Title,Default Title,,,,,WND-03,120,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/WND-03-01.jpg,1,Plain Wood Student Soprano Recorder — Natural Finish — Bob Music Store,false,Plain Wood Student Soprano Recorder — Natural Finish,"A plain student-grade soprano recorder in natural honey-tan wood, left unpainted to show the grain throughout — Bob Music Store, Beirut.",g,active
hand-painted-daisy-soprano-recorder-green,Hand-Painted Soprano Recorder — Green with Daisy Flower Design,"<p>A decorative wooden soprano recorder for kids, hand-painted in a cheerful three-tone color scheme: green body with a white daisy/flower stencil pattern, an orange-red middle joint with purple dot accents, and a natural unpainted wood mouthpiece. Three-piece construction, approximately 12-13in long.</p><ul>
<li>Hand-painted finish — green, orange-red, and natural wood tones</li>
<li>White daisy/flower stencil detail with purple dot accents</li>
<li>Three-piece take-apart construction</li>
<li>No brand markings; pre-owned condition</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Wind Instruments > Recorders,Recorder,"Recorders, Violins & Wind, decorative, hand-painted, kids recorder, recorder, soprano recorder, used, wind instrument, wood recorder",true,Title,Default Title,,,,,WND-02,120,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/WND-02-01.jpg,1,Hand-Painted Soprano Recorder — Green with Daisy Flower Design — Bob Music Store,false,Hand-Painted Soprano Recorder — Green with Daisy Flower D…,"A decorative wooden soprano recorder for kids, hand-painted in a cheerful three-tone color scheme: green body with a white — Bob Music Store, Beirut.",g,active
bliss-wooden-soprano-recorder-boxed,Bliss Wooden Soprano Recorder in C — Boxed (Made in Italy),"<p>A wooden soprano recorder in C from Bliss (by Diki), still in its original Italian retail box with a die-cut window showing the mouthpiece. The box text notes modern-system fingering and quality wood construction (Sistema Moderno, Legno Pregiato).</p><ul>
<li>Brand: Bliss (by Diki), Italy</li>
<li>Key: C (Do), modern system</li>
<li>Natural wood-tone body, three-piece construction</li>
<li>New, unopened box with clear display window</li>
</ul>",Bliss,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Wind Instruments > Recorders,Recorder,"Recorders, Violins & Wind, Bliss, boxed, Diki, Italian, new, recorder, soprano recorder, wind instrument, wood recorder",true,Title,Default Title,,,,,WND-01,120,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/WND-01-01.jpg,1,Bliss Wooden Soprano Recorder in C — Boxed (Made in Italy) — Bob Music Store,false,Bliss Wooden Soprano Recorder in C — Boxed (Made in Italy),"A wooden soprano recorder in C from Bliss (by Diki), still in its original Italian retail box with a die-cut window showing — Bob Music Store, Beirut.",g,active
ik-multimedia-irig-1st-gen-guitar-audio-interface,IK Multimedia iRig (1st Generation) Guitar Audio Interface for iOS,"<p>IK Multimedia iRig (1st generation), a guitar-to-iPhone/iPad audio interface for the AmpliTube app, includes a guitar cable. Used condition with shelf wear and scuffed box corners.</p><ul>
<li>Guitar-to-iOS audio interface for the AmpliTube app</li>
<li>Includes guitar cable</li>
<li>Analog headphone-jack design — see flags</li>
<li>Used condition, box shows shelf wear/scuffed corners</li>
</ul>",IK Multimedia,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Audio Interface,"Studio & Recording, Audio & Studio, audio interface, ik multimedia, irig, pro audio, used",true,Title,Default Title,,,,,PA-35,240,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/PA-35-01.jpg,1,IK Multimedia iRig (1st Generation) Guitar Audio Interface for iOS — Bob Music Store,false,IK Multimedia iRig (1st Generation) Guitar Audio Interfac…,"IK Multimedia iRig (1st generation), a guitar-to-iPhone/iPad audio interface for the AmpliTube app, includes a guitar cable — Bob Music Store, Beirut.",g,active
bespeco-silos-y-type-interlink-cable,Bespeco Silos Y-Type Interlink Cable (1.8m / 6ft),"<p>Bespeco Silos Y-type pro audio interlink cable, 1.8m/6ft, with three quarter-inch jack plugs (2 mono TS + 1 stereo TRS) and orange rubber-molded boots. New, in clamshell blister packaging.</p><ul>
<li>Y-type interlink cable, 1.8m/6ft</li>
<li>2x mono TS + 1x stereo TRS quarter-inch plugs</li>
<li>New, blister-packed</li>
</ul>",Bespeco,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Cable,"Cases & Care, Strings & Accessories, bespeco, cable, interlink cable, new, pro audio",true,Title,Default Title,,,,,PA-34,260,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/PA-34-01.jpg,1,Bespeco Silos Y-Type Interlink Cable (1.8m / 6ft) — Bob Music Store,false,Bespeco Silos Y-Type Interlink Cable (1.8m / 6ft),"Bespeco Silos Y-type pro audio interlink cable, 1.8m/6ft, with three quarter-inch jack plugs (2 mono TS + 1 stereo TRS) — Bob Music Store, Beirut.",g,active
joyo-jt-01-clip-on-chromatic-tuner,Joyo JT-01 Clip-On Chromatic Tuner,"<p>Joyo JT-01 clip-on chromatic tuner with a green backlit LCD display. New condition.</p><ul>
<li>Clip-on chromatic tuner</li>
<li>Green backlit LCD</li>
<li>New condition</li>
</ul>",Joyo,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Tuner,"Tuners & Pickups, Strings & Accessories, clip-on tuner, joyo, new, pro audio, tuner",true,Title,Default Title,,,,,PA-33,110,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/PA-33-01.jpg,1,Joyo JT-01 Clip-On Chromatic Tuner — Bob Music Store,false,Joyo JT-01 Clip-On Chromatic Tuner,"Joyo JT-01 clip-on chromatic tuner with a green backlit LCD display. New condition — Bob Music Store, Beirut.",g,active
